year,lgd_name,lgd_code,prop,count
2015,Northern Ireland,N92000002,0.004304617413818017,3962
2015,Antrim and Newtownabbey,N09000001,0.004800914966619677,361
2015,Ards and North Down,N09000011,0.006315514560110165,532
2015,"Armagh City, Banbridge and Craigavon",N09000002,0.0038900092710294665,407
2015,Belfast,N09000003,0.004292043212198924,559
2015,Causeway Coast and Glens,N09000004,0.004208416833667334,294
2015,Derry City and Strabane,N09000005,0.0041478755335676255,275
2015,Fermanagh and Omagh,N09000006,0.0026634022068189713,161
2015,Lisburn and Castlereagh,N09000007,0.005018887568909594,376
2015,Mid and East Antrim,N09000008,0.004714007728780114,344
2015,Mid Ulster,N09000009,0.0029695924679092427,217
2015,"Newry, Mourne and Down",N09000010,0.0037754450431879546,337
2016,Northern Ireland,N92000002,0.004066598783842756,3830
2016,Antrim and Newtownabbey,N09000001,0.004299682704137797,332
2016,Ards and North Down,N09000011,0.0059101930429917,507
2016,"Armagh City, Banbridge and Craigavon",N09000002,0.003689694812177847,398
2016,Belfast,N09000003,0.004084009646326258,547
2016,Causeway Coast and Glens,N09000004,0.0038717973805962847,277
2016,Derry City and Strabane,N09000005,0.003959614850747359,271
2016,Fermanagh and Omagh,N09000006,0.0027424380111644815,169
2016,Lisburn and Castlereagh,N09000007,0.005004655493482309,387
2016,Mid and East Antrim,N09000008,0.004448506188933837,331
2016,Mid Ulster,N09000009,0.0029493407356002777,221
2016,"Newry, Mourne and Down",N09000010,0.003502051983584131,320
2017,Northern Ireland,N92000002,0.003947857852111099,3789
2017,Antrim and Newtownabbey,N09000001,0.004477460059021064,352
2017,Ards and North Down,N09000011,0.005698333007823719,496
2017,"Armagh City, Banbridge and Craigavon",N09000002,0.003800492254234834,420
2017,Belfast,N09000003,0.0038592976667452274,524
2017,Causeway Coast and Glens,N09000004,0.00388293566400944,283
2017,Derry City and Strabane,N09000005,0.0036153703253833294,253
2017,Fermanagh and Omagh,N09000006,0.002822831443471604,177
2017,Lisburn and Castlereagh,N09000007,0.004665293773676048,367
2017,Mid and East Antrim,N09000008,0.004450703476862985,335
2017,Mid Ulster,N09000009,0.0026898298190597405,205
2017,"Newry, Mourne and Down",N09000010,0.0031845426374875353,297
2018,Northern Ireland,N92000002,0.003778976509258851,3687
2018,Antrim and Newtownabbey,N09000001,0.004308401382696257,344
2018,Ards and North Down,N09000011,0.005400297016335899,480
2018,"Armagh City, Banbridge and Craigavon",N09000002,0.0035767088966207183,404
2018,Belfast,N09000003,0.003730142476814605,510
2018,Causeway Coast and Glens,N09000004,0.003708331653835302,276
2018,Derry City and Strabane,N09000005,0.0035420443452795986,254
2018,Fermanagh and Omagh,N09000006,0.0027439789262418465,175
2018,Lisburn and Castlereagh,N09000007,0.004559006211180125,367
2018,Mid and East Antrim,N09000008,0.0043306419002647955,332
2018,Mid Ulster,N09000009,0.0025997643563342044,203
2018,"Newry, Mourne and Down",N09000010,0.002945091339754541,281
